Species,dnds,Gene,Mutualist,Pair,Transition
Bradyrhizobium_oligotrophicum,0.00409031,OG0004802,F,b,loss
Microvirga_subterranea,0.0643831,OG0004802,F,d,gain
Cupriavidus_alkaliphilus,1e-4,OG0004802,F,g,gain
Cupriavidus_taiwanensis,0.144482,OG0004802,M,g,gain
Xanthobacter_autotrophicus,0.00260597,OG0004802,F,c,gain
Xanthobacter_autotrophicus,0.0519329,OG0004803,F,c,gain
Sinorhizobium_meliloti,0.116195,OG0004803,M,a,loss
Rhizobium_tubonense,0.0448213,OG0004803,F,f,loss
Sinorhizobium_M4_45,4.42338,OG0004803,F,a,loss
Rhizobium_gallicum,0.472956,OG0004803,M,f,loss
Rhizobium_gallicum,0.0431237,OG0004804,M,f,loss
Sinorhizobium_meliloti,0.0585189,OG0004804,M,a,loss
Sinorhizobium_M4_45,0.0358977,OG0004804,F,a,loss
Rhizobium_tubonense,0.0466695,OG0004804,F,f,loss
Xanthobacter_autotrophicus,0.0596943,OG0004804,F,c,gain
Rhizobium_gallicum,0.0586335,OG0004805,M,f,loss
Rhizobium_tubonense,0.0193947,OG0004805,F,f,loss
Sinorhizobium_meliloti,0.0207873,OG0004805,M,a,loss
Sinorhizobium_M4_45,999,OG0004805,F,a,loss
Xanthobacter_autotrophicus,0.0517501,OG0004805,F,c,gain
Sinorhizobium_M4_45,0.0853821,OG0004806,F,a,loss
Sinorhizobium_meliloti,0.183764,OG0004806,M,a,loss
Rhizobium_tubonense,0.0252592,OG0004806,F,f,loss
Rhizobium_gallicum,0.0951789,OG0004806,M,f,loss
Xanthobacter_autotrophicus,0.0450583,OG0004806,F,c,gain
Sinorhizobium_M4_45,0.0395533,OG0004807,F,a,loss
Rhizobium_tubonense,0.0747369,OG0004807,F,f,loss
Rhizobium_gallicum,0.0732829,OG0004807,M,f,loss
Xanthobacter_autotrophicus,0.0764459,OG0004807,F,c,gain
Paraburkholderia_diazotrophica,0.0109645,OG0004807,M,h,gain
Sinorhizobium_M4_45,0.220211,OG0004808,F,a,loss
Sinorhizobium_meliloti,0.0915777,OG0004808,M,a,loss
Rhizobium_tubonense,0.108005,OG0004808,F,f,loss
Rhizobium_gallicum,0.202342,OG0004808,M,f,loss
Xanthobacter_autotrophicus,0.0586222,OG0004808,F,c,gain
Microvirga_subterranea,0.00187412,OG0004813,F,d,gain
Bradyrhizobium_icense,0.406354,OG0004813,M,b,loss
Bradyrhizobium_oligotrophicum,0.0550641,OG0004813,F,b,loss
Mesorhizobium_temperatum,0.269667,OG0004813,M,e,loss
Microvirga_vignae,269.365,OG0004813,M,d,gain
Rhizobium_gallicum,0.00314256,OG0004814,M,f,loss
Mesorhizobium_temperatum,0.0356804,OG0004814,M,e,loss
Rhizobium_tubonense,0.054985,OG0004814,F,f,loss
Bradyrhizobium_icense,0.00561149,OG0004814,M,b,loss
Bradyrhizobium_oligotrophicum,0.0132031,OG0004814,F,b,loss
Rhizobium_tubonense,0.00555025,OG0004818,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0004818,M,a,loss
Sinorhizobium_M4_45,216.564,OG0004818,F,a,loss
Rhizobium_gallicum,20.6889,OG0004818,M,f,loss
Bradyrhizobium_oligotrophicum,0.00333698,OG0004818,F,b,loss
Sinorhizobium_M4_45,0.231399,OG0004819,F,a,loss
Sinorhizobium_meliloti,0.0558049,OG0004819,M,a,loss
Rhizobium_gallicum,0.00458508,OG0004819,M,f,loss
Paraburkholderia_diazotrophica,0.00410637,OG0004819,M,h,gain
Bradyrhizobium_oligotrophicum,0.14588,OG0004819,F,b,loss
Bradyrhizobium_oligotrophicum,0.0948551,OG0004829,F,b,loss
Sinorhizobium_meliloti,1e-4,OG0004829,M,a,loss
Sinorhizobium_M4_45,6.46984,OG0004829,F,a,loss
Rhizobium_gallicum,0.043437,OG0004829,M,f,loss
Bradyrhizobium_icense,0.0159615,OG0004829,M,b,loss
Bradyrhizobium_icense,0.0484902,OG0004836,M,b,loss
Bradyrhizobium_oligotrophicum,0.0412418,OG0004836,F,b,loss
Microvirga_subterranea,0.124228,OG0004836,F,d,gain
Cupriavidus_taiwanensis,0.0479764,OG0004836,M,g,gain
Cupriavidus_alkaliphilus,65.9081,OG0004836,F,g,gain
Rhizobium_tubonense,0.0427081,OG0004838,F,f,loss
Mesorhizobium_oceanicum,0.0034744899999999998,OG0004838,F,e,loss
Bradyrhizobium_oligotrophicum,0.111367,OG0004838,F,b,loss
Bradyrhizobium_icense,0.0010426,OG0004838,M,b,loss
Rhizobium_gallicum,0.0906452,OG0004838,M,f,loss
Paraburkholderia_caribensis,0.211387,OG0004844,F,h,gain
Paraburkholderia_diazotrophica,0.148291,OG0004844,M,h,gain
Rhizobium_tubonense,0.130671,OG0004844,F,f,loss
Bradyrhizobium_icense,0.0038928,OG0004844,M,b,loss
Bradyrhizobium_oligotrophicum,0.101742,OG0004844,F,b,loss
Mesorhizobium_temperatum,0.182279,OG0004846,M,e,loss
Bradyrhizobium_oligotrophicum,0.0010199,OG0004846,F,b,loss
Bradyrhizobium_icense,0.0400065,OG0004846,M,b,loss
Sinorhizobium_M4_45,1e-4,OG0004846,F,a,loss
Sinorhizobium_meliloti,999,OG0004846,M,a,loss
Paraburkholderia_diazotrophica,0.071518,OG0004848,M,h,gain
Paraburkholderia_caribensis,0.0653077,OG0004848,F,h,gain
Mesorhizobium_oceanicum,0.00133706,OG0004848,F,e,loss
Bradyrhizobium_oligotrophicum,0.00162791,OG0004848,F,b,loss
Bradyrhizobium_icense,0.00521581,OG0004848,M,b,loss
Bradyrhizobium_oligotrophicum,0.137255,OG0004851,F,b,loss
Bradyrhizobium_icense,0.125398,OG0004851,M,b,loss
Mesorhizobium_temperatum,0.0544453,OG0004851,M,e,loss
Paraburkholderia_diazotrophica,1e-4,OG0004851,M,h,gain
Paraburkholderia_caribensis,0.0288548,OG0004851,F,h,gain
Microvirga_subterranea,0.0752266,OG0004852,F,d,gain
Bradyrhizobium_oligotrophicum,0.038299,OG0004852,F,b,loss
Bradyrhizobium_icense,0.31715,OG0004852,M,b,loss
Mesorhizobium_oceanicum,0.00501427,OG0004852,F,e,loss
Microvirga_vignae,0.0928252,OG0004852,M,d,gain
Cupriavidus_taiwanensis,0.0498998,OG0004853,M,g,gain
Paraburkholderia_diazotrophica,0.113735,OG0004853,M,h,gain
Bradyrhizobium_oligotrophicum,0.37746,OG0004853,F,b,loss
Paraburkholderia_caribensis,0.120391,OG0004853,F,h,gain
Cupriavidus_alkaliphilus,0.040313,OG0004853,F,g,gain
Mesorhizobium_temperatum,0.0510532,OG0004854,M,e,loss
Sinorhizobium_meliloti,0.419117,OG0004854,M,a,loss
Sinorhizobium_M4_45,0.0285328,OG0004854,F,a,loss
Rhizobium_tubonense,0.00889976,OG0004854,F,f,loss
Bradyrhizobium_oligotrophicum,0.105382,OG0004854,F,b,loss
Bradyrhizobium_oligotrophicum,0.00424208,OG0004855,F,b,loss
Mesorhizobium_temperatum,0.0550586,OG0004855,M,e,loss
Sinorhizobium_meliloti,1e-4,OG0004855,M,a,loss
Sinorhizobium_M4_45,15.9221,OG0004855,F,a,loss
Rhizobium_tubonense,0.00102787,OG0004855,F,f,loss
Mesorhizobium_temperatum,0.0622413,OG0004856,M,e,loss
Bradyrhizobium_oligotrophicum,0.163014,OG0004856,F,b,loss
Rhizobium_tubonense,0.0276506,OG0004856,F,f,loss
Sinorhizobium_M4_45,0.0768166,OG0004856,F,a,loss
Sinorhizobium_meliloti,990.012,OG0004856,M,a,loss
Sinorhizobium_M4_45,999,OG0004857,F,a,loss
Sinorhizobium_meliloti,1e-4,OG0004857,M,a,loss
Rhizobium_tubonense,0.0489331,OG0004857,F,f,loss
Mesorhizobium_temperatum,0.0657713,OG0004857,M,e,loss
Bradyrhizobium_oligotrophicum,0.198035,OG0004857,F,b,loss
Rhizobium_tubonense,0.0464481,OG0004858,F,f,loss
Sinorhizobium_meliloti,0.775288,OG0004858,M,a,loss
Sinorhizobium_M4_45,0.0485017,OG0004858,F,a,loss
Mesorhizobium_temperatum,0.0698589,OG0004858,M,e,loss
Bradyrhizobium_oligotrophicum,0.238587,OG0004858,F,b,loss
Mesorhizobium_oceanicum,0.0909767,OG0004859,F,e,loss
Mesorhizobium_temperatum,0.363212,OG0004859,M,e,loss
Bradyrhizobium_oligotrophicum,0.0618924,OG0004859,F,b,loss
Bradyrhizobium_icense,0.0346949,OG0004859,M,b,loss
Paraburkholderia_caribensis,0.00739217,OG0004859,F,h,gain
Bradyrhizobium_icense,0.00457358,OG0004860,M,b,loss
Paraburkholderia_diazotrophica,0.120653,OG0004860,M,h,gain
Microvirga_vignae,0.0074573800000000004,OG0004860,M,d,gain
Rhizobium_tubonense,0.03619,OG0004860,F,f,loss
Bradyrhizobium_oligotrophicum,0.0713071,OG0004860,F,b,loss
Mesorhizobium_temperatum,0.120066,OG0004864,M,e,loss
Mesorhizobium_oceanicum,0.0393397,OG0004864,F,e,loss
Bradyrhizobium_oligotrophicum,0.0574192,OG0004864,F,b,loss
Sinorhizobium_M4_45,0.210864,OG0004864,F,a,loss
Sinorhizobium_meliloti,999,OG0004864,M,a,loss
Bradyrhizobium_oligotrophicum,0.0162391,OG0004865,F,b,loss
Rhizobium_tubonense,0.00768991,OG0004865,F,f,loss
Rhizobium_gallicum,0.0199274,OG0004865,M,f,loss
Mesorhizobium_temperatum,0.0180853,OG0004865,M,e,loss
Mesorhizobium_oceanicum,0.0277841,OG0004865,F,e,loss
Mesorhizobium_oceanicum,0.00200428,OG0004866,F,e,loss
Mesorhizobium_temperatum,0.0240482,OG0004866,M,e,loss
Rhizobium_tubonense,0.0158927,OG0004866,F,f,loss
Rhizobium_gallicum,0.0166817,OG0004866,M,f,loss
Bradyrhizobium_oligotrophicum,0.0370758,OG0004866,F,b,loss
Bradyrhizobium_icense,0.0028584,OG0004870,M,b,loss
Mesorhizobium_oceanicum,0.005132,OG0004870,F,e,loss
Cupriavidus_alkaliphilus,0.0339819,OG0004870,F,g,gain
Cupriavidus_taiwanensis,999,OG0004870,M,g,gain
Bradyrhizobium_oligotrophicum,0.0161858,OG0004870,F,b,loss
Sinorhizobium_M4_45,999,OG0004871,F,a,loss
Sinorhizobium_meliloti,0.0125042,OG0004871,M,a,loss
Paraburkholderia_diazotrophica,0.0346113,OG0004871,M,h,gain
Paraburkholderia_caribensis,0.0558808,OG0004871,F,h,gain
Bradyrhizobium_oligotrophicum,0.0966443,OG0004871,F,b,loss
Rhizobium_gallicum,0.080651,OG0004872,M,f,loss
Sinorhizobium_meliloti,1e-4,OG0004872,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0004872,F,a,loss
Rhizobium_tubonense,0.0474545,OG0004872,F,f,loss
Bradyrhizobium_oligotrophicum,0.0979335,OG0004872,F,b,loss
Rhizobium_gallicum,6.76979e-4,OG0004875,M,f,loss
Sinorhizobium_meliloti,999,OG0004875,M,a,loss
Mesorhizobium_temperatum,0.12889,OG0004875,M,e,loss
Rhizobium_tubonense,999,OG0004875,F,f,loss
Bradyrhizobium_oligotrophicum,0.112891,OG0004875,F,b,loss
Paraburkholderia_caribensis,45.4142,OG0004877,F,h,gain
Paraburkholderia_diazotrophica,0.0451968,OG0004877,M,h,gain
Bradyrhizobium_oligotrophicum,0.0833503,OG0004877,F,b,loss
Bradyrhizobium_icense,0.0329138,OG0004877,M,b,loss
Sinorhizobium_M4_45,0.00852938,OG0004877,F,a,loss
Rhizobium_tubonense,0.064089,OG0004881,F,f,loss
Rhizobium_gallicum,0.0781253,OG0004881,M,f,loss
Cupriavidus_alkaliphilus,0.0701868,OG0004881,F,g,gain
Cupriavidus_taiwanensis,0.105984,OG0004881,M,g,gain
Bradyrhizobium_oligotrophicum,0.00280288,OG0004881,F,b,loss
Bradyrhizobium_oligotrophicum,0.15539,OG0004882,F,b,loss
Rhizobium_gallicum,0.0318776,OG0004882,M,f,loss
Rhizobium_tubonense,0.0204861,OG0004882,F,f,loss
Cupriavidus_taiwanensis,1e-4,OG0004882,M,g,gain
Cupriavidus_alkaliphilus,0.0293701,OG0004882,F,g,gain
Mesorhizobium_temperatum,0.0982511,OG0004885,M,e,loss
Bradyrhizobium_oligotrophicum,0.00325071,OG0004885,F,b,loss
Bradyrhizobium_icense,0.00435301,OG0004885,M,b,loss
Sinorhizobium_M4_45,0.00829192,OG0004885,F,a,loss
Sinorhizobium_meliloti,999,OG0004885,M,a,loss
Cupriavidus_taiwanensis,999,OG0004886,M,g,gain
Bradyrhizobium_oligotrophicum,0.0429598,OG0004886,F,b,loss
Microvirga_vignae,0.0212552,OG0004886,M,d,gain
Microvirga_subterranea,0.0185964,OG0004886,F,d,gain
Cupriavidus_alkaliphilus,0.0147193,OG0004886,F,g,gain
Bradyrhizobium_icense,0.0817966,OG0004887,M,b,loss
Rhizobium_gallicum,0.099311,OG0004887,M,f,loss
Rhizobium_tubonense,0.0870571,OG0004887,F,f,loss
Mesorhizobium_temperatum,0.0850049,OG0004887,M,e,loss
Bradyrhizobium_oligotrophicum,0.0579268,OG0004887,F,b,loss
Sinorhizobium_M4_45,1e-4,OG0004888,F,a,loss
Mesorhizobium_temperatum,0.0437209,OG0004888,M,e,loss
Bradyrhizobium_oligotrophicum,0.0648049,OG0004888,F,b,loss
Mesorhizobium_oceanicum,0.0709366,OG0004888,F,e,loss
Sinorhizobium_meliloti,0.0483698,OG0004888,M,a,loss
Cupriavidus_alkaliphilus,0.0408331,OG0004889,F,g,gain
Cupriavidus_taiwanensis,0.149333,OG0004889,M,g,gain
Paraburkholderia_caribensis,1.23222,OG0004889,F,h,gain
Paraburkholderia_diazotrophica,0.0276716,OG0004889,M,h,gain
Bradyrhizobium_oligotrophicum,0.501504,OG0004889,F,b,loss
Microvirga_vignae,0.00370101,OG0004892,M,d,gain
Bradyrhizobium_oligotrophicum,9.3716e-4,OG0004892,F,b,loss
Bradyrhizobium_icense,0.0578349,OG0004892,M,b,loss
Rhizobium_tubonense,0.00290187,OG0004892,F,f,loss
Rhizobium_gallicum,0.00473006,OG0004892,M,f,loss
Bradyrhizobium_icense,0.0308404,OG0004893,M,b,loss
Bradyrhizobium_oligotrophicum,0.00658977,OG0004893,F,b,loss
Cupriavidus_taiwanensis,0.0826281,OG0004893,M,g,gain
Cupriavidus_alkaliphilus,0.0453237,OG0004893,F,g,gain
Microvirga_vignae,0.00538784,OG0004893,M,d,gain
Bradyrhizobium_oligotrophicum,0.0388861,OG0004894,F,b,loss
Mesorhizobium_temperatum,0.38494,OG0004894,M,e,loss
Rhizobium_gallicum,0.00190672,OG0004894,M,f,loss
Sinorhizobium_meliloti,8.48496e-4,OG0004894,M,a,loss
Bradyrhizobium_icense,0.655618,OG0004894,M,b,loss
Cupriavidus_taiwanensis,0.00485197,OG0004895,M,g,gain
Bradyrhizobium_oligotrophicum,0.0751073,OG0004895,F,b,loss
Microvirga_vignae,0.00173226,OG0004895,M,d,gain
Microvirga_subterranea,0.0544616,OG0004895,F,d,gain
Cupriavidus_alkaliphilus,999,OG0004895,F,g,gain
Cupriavidus_alkaliphilus,0.0352255,OG0004896,F,g,gain
Cupriavidus_taiwanensis,30.5297,OG0004896,M,g,gain
Paraburkholderia_caribensis,0.0269995,OG0004896,F,h,gain
Paraburkholderia_diazotrophica,0.021088,OG0004896,M,h,gain
Bradyrhizobium_oligotrophicum,0.00404973,OG0004896,F,b,loss
Mesorhizobium_temperatum,73.7274,OG0004902,M,e,loss
Rhizobium_gallicum,0.0458882,OG0004902,M,f,loss
Bradyrhizobium_oligotrophicum,0.00210538,OG0004902,F,b,loss
Bradyrhizobium_icense,0.00225393,OG0004902,M,b,loss
Paraburkholderia_diazotrophica,0.277885,OG0004902,M,h,gain
Bradyrhizobium_icense,999,OG0004903,M,b,loss
Mesorhizobium_temperatum,0.0556824,OG0004903,M,e,loss
Bradyrhizobium_oligotrophicum,0.00262156,OG0004903,F,b,loss
Sinorhizobium_M4_45,999,OG0004903,F,a,loss
Sinorhizobium_meliloti,1e-4,OG0004903,M,a,loss
Bradyrhizobium_oligotrophicum,0.0109761,OG0004904,F,b,loss
Sinorhizobium_meliloti,0.0887479,OG0004904,M,a,loss
Sinorhizobium_M4_45,999,OG0004904,F,a,loss
Rhizobium_gallicum,0.0568601,OG0004904,M,f,loss
Rhizobium_tubonense,0.00925795,OG0004904,F,f,loss
Microvirga_subterranea,0.00447208,OG0004905,F,d,gain
Microvirga_vignae,0.0018681,OG0004905,M,d,gain
Mesorhizobium_temperatum,0.00236634,OG0004905,M,e,loss
Bradyrhizobium_icense,0.0193108,OG0004905,M,b,loss
Bradyrhizobium_oligotrophicum,0.00707244,OG0004905,F,b,loss
Rhizobium_tubonense,0.182332,OG0004908,F,f,loss
Rhizobium_gallicum,0.0503099,OG0004908,M,f,loss
Mesorhizobium_temperatum,0.0460906,OG0004908,M,e,loss
Bradyrhizobium_icense,0.129295,OG0004908,M,b,loss
Bradyrhizobium_oligotrophicum,0.261084,OG0004908,F,b,loss
Microvirga_subterranea,5.11935e-4,OG0004909,F,d,gain
Microvirga_vignae,0.0108655,OG0004909,M,d,gain
Bradyrhizobium_icense,0.00156558,OG0004909,M,b,loss
Bradyrhizobium_oligotrophicum,0.0819459,OG0004909,F,b,loss
Paraburkholderia_caribensis,0.00503929,OG0004909,F,h,gain
Paraburkholderia_diazotrophica,0.0111451,OG0004911,M,h,gain
Bradyrhizobium_oligotrophicum,7.68187e-4,OG0004911,F,b,loss
Bradyrhizobium_icense,0.0092802,OG0004911,M,b,loss
Mesorhizobium_temperatum,0.00215966,OG0004911,M,e,loss
Paraburkholderia_caribensis,7.85463e-4,OG0004911,F,h,gain
Sinorhizobium_M4_45,2.61419,OG0004912,F,a,loss
Mesorhizobium_temperatum,0.104128,OG0004912,M,e,loss
Bradyrhizobium_oligotrophicum,0.0662658,OG0004912,F,b,loss
Bradyrhizobium_icense,0.162331,OG0004912,M,b,loss
Sinorhizobium_meliloti,0.0633953,OG0004912,M,a,loss
Microvirga_subterranea,0.0027381,OG0004916,F,d,gain
Mesorhizobium_temperatum,0.00732205,OG0004916,M,e,loss
Rhizobium_tubonense,0.0299386,OG0004916,F,f,loss
Rhizobium_gallicum,0.0182892,OG0004916,M,f,loss
Bradyrhizobium_oligotrophicum,0.00270106,OG0004916,F,b,loss
Bradyrhizobium_oligotrophicum,0.0198865,OG0004917,F,b,loss
Rhizobium_gallicum,0.127421,OG0004917,M,f,loss
Microvirga_subterranea,0.0653759,OG0004917,F,d,gain
Paraburkholderia_caribensis,0.0525639,OG0004917,F,h,gain
Mesorhizobium_temperatum,0.00705152,OG0004917,M,e,loss
Rhizobium_gallicum,0.0391119,OG0004921,M,f,loss
Bradyrhizobium_oligotrophicum,0.0541835,OG0004921,F,b,loss
Mesorhizobium_oceanicum,0.0403399,OG0004921,F,e,loss
Microvirga_subterranea,0.0101569,OG0004921,F,d,gain
Rhizobium_tubonense,0.0343016,OG0004921,F,f,loss
Cupriavidus_alkaliphilus,0.0383876,OG0004922,F,g,gain
Cupriavidus_taiwanensis,1.76204,OG0004922,M,g,gain
Bradyrhizobium_oligotrophicum,5.40609e-4,OG0004922,F,b,loss
Bradyrhizobium_icense,0.00106332,OG0004922,M,b,loss
Paraburkholderia_caribensis,0.00317116,OG0004922,F,h,gain
Rhizobium_gallicum,0.14915,OG0004923,M,f,loss
Bradyrhizobium_icense,0.00114367,OG0004923,M,b,loss
Paraburkholderia_caribensis,0.0376895,OG0004923,F,h,gain
Paraburkholderia_diazotrophica,573.941,OG0004923,M,h,gain
Bradyrhizobium_oligotrophicum,0.205254,OG0004923,F,b,loss
Bradyrhizobium_icense,0.00153532,OG0004924,M,b,loss
Sinorhizobium_meliloti,1e-4,OG0004924,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0004924,F,a,loss
Rhizobium_gallicum,0.0649601,OG0004924,M,f,loss
Bradyrhizobium_oligotrophicum,0.00718571,OG0004924,F,b,loss
Rhizobium_tubonense,0.0631591,OG0004925,F,f,loss
Microvirga_vignae,0.0825944,OG0004925,M,d,gain
Microvirga_subterranea,0.0571079,OG0004925,F,d,gain
Mesorhizobium_temperatum,0.0508438,OG0004925,M,e,loss
Rhizobium_gallicum,0.351377,OG0004925,M,f,loss
Sinorhizobium_M4_45,0.13222,OG0004929,F,a,loss
Rhizobium_gallicum,0.15833,OG0004929,M,f,loss
Microvirga_vignae,0.221146,OG0004929,M,d,gain
Mesorhizobium_temperatum,0.0710693,OG0004929,M,e,loss
Sinorhizobium_meliloti,0.122175,OG0004929,M,a,loss
Rhizobium_gallicum,0.0019694,OG0004930,M,f,loss
Mesorhizobium_temperatum,0.00314892,OG0004930,M,e,loss
Microvirga_subterranea,0.0955063,OG0004930,F,d,gain
Microvirga_vignae,0.0595787,OG0004930,M,d,gain
Rhizobium_tubonense,0.380415,OG0004930,F,f,loss
Cupriavidus_alkaliphilus,0.0837346,OG0004933,F,g,gain
Cupriavidus_taiwanensis,0.0343409,OG0004933,M,g,gain
Paraburkholderia_caribensis,0.0566773,OG0004933,F,h,gain
Paraburkholderia_diazotrophica,0.0463903,OG0004933,M,h,gain
Microvirga_vignae,0.0029739,OG0004933,M,d,gain
Microvirga_subterranea,0.00217353,OG0004936,F,d,gain
Microvirga_vignae,0.0502738,OG0004936,M,d,gain
Mesorhizobium_oceanicum,0.00806426,OG0004936,F,e,loss
Paraburkholderia_diazotrophica,0.0713992,OG0004936,M,h,gain
Paraburkholderia_caribensis,0.0390613,OG0004936,F,h,gain
Cupriavidus_alkaliphilus,0.103994,OG0004941,F,g,gain
Paraburkholderia_diazotrophica,0.0842572,OG0004941,M,h,gain
Mesorhizobium_temperatum,0.0880491,OG0004941,M,e,loss
Paraburkholderia_caribensis,0.00344546,OG0004941,F,h,gain
Microvirga_vignae,0.00207397,OG0004941,M,d,gain
Rhizobium_gallicum,0.104759,OG0004942,M,f,loss
Rhizobium_tubonense,0.111434,OG0004942,F,f,loss
Mesorhizobium_oceanicum,0.117352,OG0004942,F,e,loss
Bradyrhizobium_icense,0.0735642,OG0004942,M,b,loss
Microvirga_vignae,0.00717008,OG0004942,M,d,gain
Rhizobium_tubonense,0.0174597,OG0004943,F,f,loss
Bradyrhizobium_icense,0.093918,OG0004943,M,b,loss
Mesorhizobium_oceanicum,0.00285762,OG0004943,F,e,loss
Microvirga_vignae,0.00738805,OG0004943,M,d,gain
Rhizobium_gallicum,0.00225923,OG0004943,M,f,loss
Paraburkholderia_diazotrophica,0.255953,OG0004944,M,h,gain
Cupriavidus_alkaliphilus,0.0715194,OG0004944,F,g,gain
Cupriavidus_taiwanensis,0.140165,OG0004944,M,g,gain
Microvirga_vignae,0.003228,OG0004944,M,d,gain
Paraburkholderia_caribensis,0.0417911,OG0004944,F,h,gain
Rhizobium_gallicum,0.0850081,OG0004947,M,f,loss
Sinorhizobium_meliloti,0.112812,OG0004947,M,a,loss
Microvirga_vignae,0.187614,OG0004947,M,d,gain
Bradyrhizobium_icense,0.109227,OG0004947,M,b,loss
Paraburkholderia_diazotrophica,0.00558684,OG0004947,M,h,gain
Sinorhizobium_meliloti,0.00940885,OG0004948,M,a,loss
Sinorhizobium_M4_45,999,OG0004948,F,a,loss
Microvirga_vignae,0.138556,OG0004948,M,d,gain
Microvirga_subterranea,0.0422334,OG0004948,F,d,gain
Rhizobium_gallicum,0.0833282,OG0004948,M,f,loss
Rhizobium_tubonense,0.0191991,OG0004949,F,f,loss
Paraburkholderia_caribensis,999,OG0004949,F,h,gain
Paraburkholderia_diazotrophica,0.0256109,OG0004949,M,h,gain
Microvirga_subterranea,0.0229695,OG0004949,F,d,gain
Microvirga_vignae,0.0235026,OG0004949,M,d,gain
Paraburkholderia_diazotrophica,0.00375975,OG0004951,M,h,gain
Cupriavidus_alkaliphilus,0.0937628,OG0004951,F,g,gain
Cupriavidus_taiwanensis,0.25107,OG0004951,M,g,gain
Microvirga_vignae,0.0032311,OG0004951,M,d,gain
Mesorhizobium_temperatum,0.00499221,OG0004951,M,e,loss
Mesorhizobium_temperatum,0.0506702,OG0004954,M,e,loss
Rhizobium_gallicum,0.0356238,OG0004954,M,f,loss
Microvirga_vignae,0.0247734,OG0004954,M,d,gain
Bradyrhizobium_icense,0.101744,OG0004954,M,b,loss
Paraburkholderia_caribensis,0.238591,OG0004954,F,h,gain
Mesorhizobium_temperatum,0.00233944,OG0004965,M,e,loss
Rhizobium_gallicum,0.0726947,OG0004965,M,f,loss
Sinorhizobium_meliloti,1e-4,OG0004965,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0004965,F,a,loss
Microvirga_vignae,0.0431225,OG0004965,M,d,gain
Microvirga_subterranea,0.0292034,OG0004968,F,d,gain
Cupriavidus_alkaliphilus,0.11575,OG0004968,F,g,gain
Cupriavidus_taiwanensis,1e-4,OG0004968,M,g,gain
Mesorhizobium_oceanicum,0.00327469,OG0004968,F,e,loss
Microvirga_vignae,0.376535,OG0004968,M,d,gain
Microvirga_vignae,0.127325,OG0004970,M,d,gain
Microvirga_subterranea,0.00132153,OG0004970,F,d,gain
Rhizobium_gallicum,0.0557099,OG0004970,M,f,loss
Sinorhizobium_M4_45,999,OG0004970,F,a,loss
Sinorhizobium_meliloti,0.0717553,OG0004970,M,a,loss
Sinorhizobium_meliloti,0.0143922,OG0004973,M,a,loss
Sinorhizobium_M4_45,168.762,OG0004973,F,a,loss
Microvirga_vignae,0.0547648,OG0004973,M,d,gain
Microvirga_subterranea,0.115265,OG0004973,F,d,gain
Mesorhizobium_temperatum,0.184298,OG0004973,M,e,loss
Bradyrhizobium_icense,0.158807,OG0004975,M,b,loss
Sinorhizobium_M4_45,0.062202,OG0004975,F,a,loss
Mesorhizobium_temperatum,15.3832,OG0004975,M,e,loss
Rhizobium_gallicum,0.00249279,OG0004975,M,f,loss
Microvirga_vignae,0.00820684,OG0004975,M,d,gain
Mesorhizobium_temperatum,0.0109379,OG0004976,M,e,loss
Rhizobium_gallicum,0.00326529,OG0004976,M,f,loss
Microvirga_vignae,0.00498438,OG0004976,M,d,gain
Mesorhizobium_oceanicum,0.0107664,OG0004976,F,e,loss
Bradyrhizobium_icense,60.6283,OG0004976,M,b,loss
Cupriavidus_taiwanensis,0.00448897,OG0004977,M,g,gain
Bradyrhizobium_icense,0.00159962,OG0004977,M,b,loss
Rhizobium_gallicum,0.00114612,OG0004977,M,f,loss
Sinorhizobium_M4_45,0.00228079,OG0004977,F,a,loss
Microvirga_vignae,0.00474809,OG0004977,M,d,gain
Mesorhizobium_temperatum,0.128601,OG0004979,M,e,loss
Rhizobium_gallicum,0.102353,OG0004979,M,f,loss
Sinorhizobium_M4_45,0.119321,OG0004979,F,a,loss
Microvirga_subterranea,0.0558617,OG0004979,F,d,gain
Microvirga_vignae,0.0231844,OG0004979,M,d,gain
Sinorhizobium_M4_45,0.128537,OG0004980,F,a,loss
Microvirga_vignae,0.0229867,OG0004980,M,d,gain
Microvirga_subterranea,0.0183455,OG0004980,F,d,gain
Mesorhizobium_temperatum,0.0672632,OG0004980,M,e,loss
Sinorhizobium_meliloti,0.0185359,OG0004980,M,a,loss
Bradyrhizobium_icense,0.0156026,OG0004981,M,b,loss
Microvirga_subterranea,0.00757077,OG0004981,F,d,gain
Microvirga_vignae,0.00902578,OG0004981,M,d,gain
Cupriavidus_taiwanensis,0.0447179,OG0004981,M,g,gain
Cupriavidus_alkaliphilus,999,OG0004981,F,g,gain
Rhizobium_gallicum,0.00412677,OG0004982,M,f,loss
Sinorhizobium_meliloti,0.0884251,OG0004982,M,a,loss
Sinorhizobium_M4_45,471.028,OG0004982,F,a,loss
Microvirga_subterranea,0.0231594,OG0004982,F,d,gain
Microvirga_vignae,0.00815507,OG0004982,M,d,gain
